sheet_section,row_id,row_type,system,canonical_name,category,launch_status,mvp_status,resource_role,primary_faucet,secondary_faucet,faucet_cadence,early_daily_target,weekly_target,primary_sink,secondary_sink,sink_cadence,scarcity_tier,cap_type,storage_cap,conversion_rule,unlock_condition,related_stratum,related_event,related_systems,server_authority_level,telemetry_key,balance_notes,unresolved
progression_material,mat_003,material,strain,Strain Seeds,progression_material,launch,mvp,strain_progression_input,"Strain Hall activities","Encounter drops / Duty rewards",daily,20–50,150–300,Strain Loom research,Strain unlock,on_demand,medium,soft_cap,999,N/A,strata_progress.loamwake.clears >= 1,loamwake,none,"Strain Hall, Strain Loom, Strains",medium,material_strain_seed_use,"Daily Strain Seed output should feel meaningful; avoid letting Strain feel purely time-gated",UNRESOLVED: exact Strain Loom research cost table
fixture_material,mat_004,material,fixtures,Fixture Materials (named),crafting_material,launch,mvp,fixture_crafting_input,"Exploration drops / Buried Clues","Warden drops / Duty rewards",per_session,10–30 units (various),varies by material,Fixture crafting,Fixture upgrading,on_demand,medium,no_cap,unlimited,N/A,account.fixture_cap >= 1,loamwake,none,"Fixtures, Rootrail",medium,material_fixture_mat_use,"Named per-Strata; names finalized in loamwake_mvp_content_sheet.md; represented here as a category row",UNRESOLVED: exact Loamwake Fixture Material names (see loamwake_mvp_content_sheet.md)
fixture_material,mat_005,material,fixtures,Polishes,upgrade_material,launch,mvp,fixture_upgrade_input,"Daily Duty rewards","Event trickle",daily,2–5,15–30,Fixture upgrade (per level),N/A,on_demand,medium,soft_cap,500,N/A,account.fixture_cap >= 1,all_strata,none,Fixtures,medium,material_polish_use,"Upgrade pacing material; should feel earnable via daily play without grinding; not premium only",UNRESOLVED: exact Polish cost per upgrade level per rarity tier
fixture_material,mat_006,material,fixtures,Treasure Shards,fragment_currency,launch,mvp_stub,secondary_fixture_exchange,"Treasure pulls (partial output)","Encounter drops",per_event_or_pull,0–5,varies,Fixture exchange shop,Treasure exchange,on_demand,medium,soft_cap,9999,N/A,strata_progress.loamwake.clears >= 1,all_strata,treasure_week,"Fixtures, Vault of Treasures",medium,material_treasure_shard_use,"Bridge resource allowing non-lucky players to progress toward desired Fixtures via shard accumulation",none
rootrail_material,mat_007,material,rootrail,Rootrail Parts,rootrail_repair_component,launch,mvp,rootrail_repair_cost,"Duties in Loamwake","Encounter drops / rare Buried Clue reward",slow_daily,5–15,40–80,Rootrail repair steps (sole use),N/A,on_milestone,high,no_cap,unlimited,N/A,rootrail_state.rootrail_unlocked == true,loamwake,none,Rootrail,high,material_rootrail_parts_earn,"Deliberately scarce — sole use gives them purpose; drip rate should pace one repair step per 3–5 days early on",UNRESOLVED: exact Rootrail Parts drip rate and step costs 1–5
permanent_unlock,pun_001,permanent_unlock,rootrail,Forgotten Manuals,knowledge_unlock,launch,mvp,rootrail_knowledge_gate,"Buried Clue discoveries","Rare Encounter drops / specific Duties",per_discovery,N/A,N/A,Rootrail repair step gate (not consumed),N/A,on_discovery,high,per_unique_manual,one_per_unique_manual,"Not convertible; not consumable; added to codex on discovery",rootrail_state.rootrail_unlocked == true,loamwake,none,"Rootrail, Codex",high,perm_unlock_manual_discovered,"Each Forgotten Manual is a unique collectible; reward rare but memorable discovery moments; separate from Elder Books",UNRESOLVED: first Forgotten Manual identity and location in Loamwake
side_lane_resource,cur_009,currency,crack,Crack Coins,crack_currency,launch,stub,crack_progression_currency,"Crack run completions","depth milestone drops",per_crack_run,0 (pre-unlock),N/A,Crack shop purchases,Crack depth upgrades,on_demand,high,soft_cap,9999,N/A,crack_state.crack_depth >= 1,all_strata,none,The Crack,high,currency_crack_coin_earn,"Never-ending progression economy must not feel stagnant; ensure new Crack Coin sinks unlock regularly",UNRESOLVED: Crack unlock condition (what triggers access to The Crack)
side_lane_resource,res_001,resource,crack,Bronze Shovels,crack_special_resource,launch,stub,crack_special_dig,"Crack milestone drops","Duty rewards (rare)",per_depth_milestone,N/A,N/A,Crack deep-dig reveals (special digs within Crack run),N/A,on_milestone,very_high,no_cap,unlimited,N/A,crack_state.crack_depth >= 5,all_strata,none,The Crack,high,resource_bronze_shovel_use,"Bronze Shovels stays Bronze Shovels — do not rename. Intentionally very limited; should feel special",none
side_lane_resource,cur_010,currency,clique,Favor Marks,clique_currency,launch,stub,clique_social_economy,"Clique Queue completions","Clique Call participation",weekly,0,varies by Clique activity,Clique shop (items/boosts),War Armory materials,weekly,high,weekly_scoped,resets_each_week,N/A,clique_state.clique_joined == true,all_strata,none,"Clique, War Armory",high,currency_favor_mark_earn,"Will feel low in early sessions; Clique social engagement is the primary driver; avoid making progress feel blocked without Clique",UNRESOLVED: exact Favor Mark earn rates and shop item costs
meta_resource,met_001,meta,misc,Fixture Cap Increase,non_tradeable_unlock,launch,mvp,personal_fixture_capacity,"Loamwake milestone beats (scripted)","Specific Duty completions / Rootrail steps / Deepening",on_milestone,N/A,N/A,N/A,N/A,N/A,N/A,non_tradeable,N/A,N/A,account_created,loamwake,none,"Fixtures, Rootrail, Deepening",high,meta_fixture_cap_increased,"Cap starts at 0; each increase is a meaningful moment of growth; target 12 over full late-game journey",UNRESOLVED: exact per-milestone cap increase schedule
